availability,category,num_reviews,price_excl_tax,price_incl_tax,product_type,star_rating,tax,title,url
19,Food and Drink,0,30.52,30.52,Books,3,0.0,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
19,Music,0,37.32,37.32,Books,2,0.0,How Music Works,https://books.toscrape.com/catalogue/how-music-works_979/index.html
19,Thriller,0,12.84,12.84,Books,1,0.0,In Her Wake,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
20,Mystery,0,47.82,47.82,Books,4,0.0,Sharp Objects,https://books.toscrape.com/catalogue/sharp-objects_997/index.html
20,Fiction,0,50.1,50.1,Books,1,0.0,Soumission,https://books.toscrape.com/catalogue/soumission_998/index.html
20,Historical Fiction,0,53.74,53.74,Books,1,0.0,Tipping the Velvet,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
16,Young Adult,0,45.22,45.22,Books,3,0.0,The Natural History of Us (The Fine Art of Pretending #2),https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html
16,Mystery,0,56.5,56.5,Books,4,0.0,The Past Never Ends,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html
16,Food and Drink,0,56.41,56.41,Books,1,0.0,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html
16,Childrens,0,56.13,56.13,Books,1,0.0,The Secret of Dreadwillow Carse,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html
16,Add a comment,0,19.09,19.09,Books,1,0.0,The Torch Is Passed: A Harding Family Story,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html
16,Fiction,0,17.27,17.27,Books,5,0.0,Thirst,https://books.toscrape.com/catalogue/thirst_946/index.html
16,Sequential Art,0,19.49,19.49,Books,4,0.0,This One Summer,https://books.toscrape.com/catalogue/this-one-summer_947/index.html
16,Nonfiction,0,31.12,31.12,Books,3,0.0,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html
16,Sequential Art,0,16.28,16.28,Books,1,0.0,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html
16,History,0,25.52,25.52,Books,1,0.0,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html
16,Fantasy,0,18.78,18.78,Books,3,0.0,Unicorn Tracks,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html
16,Nonfiction,0,44.18,44.18,Books,4,0.0,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html
16,Poetry,0,14.27,14.27,Books,4,0.0,Untitled Collection: Sabbath Poems 2014,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html
16,Fiction,0,50.27,50.27,Books,5,0.0,"We Love You, Charlie Freeman",https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html
16,Contemporary,0,31.77,31.77,Books,1,0.0,When We Collided,https://books.toscrape.com/catalogue/when-we-collided_955/index.html
16,New Adult,0,45.07,45.07,Books,2,0.0,Without Borders (Wanderlove #1),https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html
17,Nonfiction,0,23.11,23.11,Books,5,0.0,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html
17,Fiction,0,47.61,47.61,Books,5,0.0,Private Paris (Private #10),https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html
17,Nonfiction,0,26.41,26.41,Books,2,0.0,Reasons to Stay Alive,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html
16,Sequential Art,0,50.4,50.4,Books,3,0.0,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html
16,Nonfiction,0,19.83,19.83,Books,2,0.0,Reskilling America: Learning to Labor in the Twenty-First Century,https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html
16,Sequential Art,0,51.04,51.04,Books,2,0.0,"Saga, Volume 5 (Saga (Collected Editions) #5)",https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html
16,Fantasy,0,25.02,25.02,Books,3,0.0,"Saga, Volume 6 (Saga (Collected Editions) #6)",https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html
16,Horror,0,39.25,39.25,Books,2,0.0,Security,https://books.toscrape.com/catalogue/security_925/index.html
16,Default,0,39.58,39.58,Books,2,0.0,Soul Reader,https://books.toscrape.com/catalogue/soul-reader_926/index.html
16,Nonfiction,0,41.83,41.83,Books,4,0.0,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html
16,Spirituality,0,32.24,32.24,Books,5,0.0,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html
16,History,0,19.73,19.73,Books,1,0.0,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html
16,Health,0,49.05,49.05,Books,3,0.0,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",https://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html
16,Add a comment,0,40.76,40.76,Books,3,0.0,The Art Forger,https://books.toscrape.com/catalogue/the-art-forger_930/index.html
16,Philosophy,0,58.11,58.11,Books,4,0.0,The Death of Humanity: and the Case for Life,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html
16,Nonfiction,0,56.06,56.06,Books,1,0.0,The Electric Pencil: Drawings from Inside State Hospital No. 3,https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html
16,Nonfiction,0,37.13,37.13,Books,1,0.0,The Gutsy Girl: Escapades for Your Life of Epic Adventure,https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html
16,Nonfiction,0,16.77,16.77,Books,3,0.0,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html
16,Science,0,42.96,42.96,Books,4,0.0,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html
16,Add a comment,0,23.89,23.89,Books,4,0.0,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html
16,Fiction,0,54.11,54.11,Books,3,0.0,The Murder That Never Was (Forensic Instincts #5),https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html
16,Sequential Art,0,38.16,38.16,Books,4,0.0,The Nameless City (The Nameless City #1),https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
17,Poetry,0,57.31,57.31,Books,3,0.0,Slow States of Collapse: Poems,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
22,Poetry,0,51.77,51.77,Books,3,0.0,A Light in the Attic,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
16,Nonfiction,0,22.0,22.0,Books,4,0.0,In the Country We Love: My Family Divided,https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html
16,Science Fiction,0,35.67,35.67,Books,5,0.0,Join,https://books.toscrape.com/catalogue/join_902/index.html
16,Default,0,20.59,20.59,Books,5,0.0,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html
16,Add a comment,0,53.9,53.9,Books,2,0.0,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),https://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html
16,Food and Drink,0,40.11,40.11,Books,1,0.0,"Layered: Baking, Building, and Styling Spectacular Cakes",https://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html
16,Sequential Art,0,19.92,19.92,Books,2,0.0,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html
16,Sequential Art,0,45.61,45.61,Books,3,0.0,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html
16,Sequential Art,0,46.91,46.91,Books,2,0.0,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html
16,Food and Drink,0,14.02,14.02,Books,4,0.0,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html
16,Fantasy,0,56.4,56.4,Books,2,0.0,Masks and Shadows,https://books.toscrape.com/catalogue/masks-and-shadows_909/index.html
16,Young Adult,0,14.86,14.86,Books,2,0.0,Obsidian (Lux #1),https://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html
16,Food and Drink,0,33.37,33.37,Books,2,0.0,My Paris Kitchen: Recipes and Stories,https://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html
16,Add a comment,0,14.07,14.07,Books,3,0.0,On a Midnight Clear,https://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html
16,Self Help,0,46.35,46.35,Books,1,0.0,Online Marketing for Busy Authors: A Step-By-Step Guide,https://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html
16,Sequential Art,0,48.41,48.41,Books,1,0.0,orange: The Complete Collection 1 (orange: The Complete Collection #1),https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html
16,Sequential Art,0,15.44,15.44,Books,4,0.0,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html
16,Sequential Art,0,10.16,10.16,Books,3,0.0,Patience,https://books.toscrape.com/catalogue/patience_916/index.html
16,Sequential Art,0,18.97,18.97,Books,1,0.0,"Pop Gun War, Volume 1: Gift",https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html
16,Sequential Art,0,13.61,13.61,Books,5,0.0,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
16,History,0,36.28,36.28,Books,2,0.0,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html
16,Fantasy,0,13.34,13.34,Books,5,0.0,Princess Between Worlds (Wide-Awake Princess #5),https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html
16,Fantasy,0,28.09,28.09,Books,2,0.0,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",https://books.toscrape.com/catalogue/avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html
16,Young Adult,0,28.81,28.81,Books,3,0.0,Burning,https://books.toscrape.com/catalogue/burning_884/index.html
16,Nonfiction,0,29.14,29.14,Books,5,0.0,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,https://books.toscrape.com/catalogue/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html
16,Sequential Art,0,36.72,36.72,Books,4,0.0,"Codename Baboushka, Volume 1: The Conclave of Death",https://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html
16,Sequential Art,0,17.08,17.08,Books,4,0.0,Camp Midnight,https://books.toscrape.com/catalogue/camp-midnight_886/index.html
16,Default,0,49.46,49.46,Books,2,0.0,Bossypants,https://books.toscrape.com/catalogue/bossypants_883/index.html
16,Sequential Art,0,37.92,37.92,Books,2,0.0,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",https://books.toscrape.com/catalogue/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html
16,Fantasy,0,43.29,43.29,Books,3,0.0,Crown of Midnight (Throne of Glass #2),https://books.toscrape.com/catalogue/crown-of-midnight-throne-of-glass-2_888/index.html
16,Sequential Art,0,51.99,51.99,Books,4,0.0,Danganronpa Volume 1,https://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html
16,Religion,0,37.97,37.97,Books,2,0.0,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",https://books.toscrape.com/catalogue/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html
16,Nonfiction,0,54.35,54.35,Books,2,0.0,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,https://books.toscrape.com/catalogue/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html
16,Romance,0,21.96,21.96,Books,1,0.0,Fifty Shades Darker (Fifty Shades #2),https://books.toscrape.com/catalogue/fifty-shades-darker-fifty-shades-2_892/index.html
16,Romance,0,15.97,15.97,Books,4,0.0,First and First (Five Boroughs #3),https://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html
16,Historical Fiction,0,29.69,29.69,Books,3,0.0,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html
16,Sequential Art,0,22.11,22.11,Books,2,0.0,"Giant Days, Vol. 2 (Giant Days #5-8)",https://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html
16,Romance,0,33.97,33.97,Books,1,0.0,Her Backup Boyfriend (The Sorensen Family #1),https://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html
16,Self Help,0,46.03,46.03,Books,1,0.0,How to Be Miserable: 40 Strategies You Already Use,https://books.toscrape.com/catalogue/how-to-be-miserable-40-strategies-you-already-use_897/index.html
16,Sequential Art,0,54.63,54.63,Books,3,0.0,I am a Hero Omnibus Volume 1,https://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html
16,Sequential Art,0,29.17,29.17,Books,2,0.0,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",https://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html
16,Science,0,57.36,57.36,Books,5,0.0,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html
15,Philosophy,0,17.44,17.44,Books,4,0.0,The Stranger,https://books.toscrape.com/catalogue/the-stranger_861/index.html
15,Business,0,12.61,12.61,Books,5,0.0,The Third Wave: An Entrepreneur’s Vision of the Future,https://books.toscrape.com/catalogue/the-third-wave-an-entrepreneurs-vision-of-the-future_862/index.html
15,Fiction,0,42.15,42.15,Books,4,0.0,The Vacationers,https://books.toscrape.com/catalogue/the-vacationers_863/index.html
15,Romance,0,24.12,24.12,Books,1,0.0,The Wedding Dress,https://books.toscrape.com/catalogue/the-wedding-dress_864/index.html
15,Childrens,0,58.08,58.08,Books,4,0.0,The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,https://books.toscrape.com/catalogue/the-white-cat-and-the-monk-a-retelling-of-the-poem-pangur-ban_865/index.html
15,Default,0,52.72,52.72,Books,1,0.0,Thirteen Reasons Why,https://books.toscrape.com/catalogue/thirteen-reasons-why_866/index.html
15,History,0,59.64,59.64,Books,1,0.0,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,https://books.toscrape.com/catalogue/thomas-jefferson-and-the-tripoli-pirates-the-forgotten-war-that-changed-american-history_867/index.html
15,Fantasy,0,35.07,35.07,Books,3,0.0,Throne of Glass (Throne of Glass #1),https://books.toscrape.com/catalogue/throne-of-glass-throne-of-glass-1_868/index.html
15,Default,0,41.6,41.6,Books,3,0.0,Tracing Numbers on a Train,https://books.toscrape.com/catalogue/tracing-numbers-on-a-train_869/index.html
15,Fiction,0,21.04,21.04,Books,2,0.0,Tuesday Nights in 1980,https://books.toscrape.com/catalogue/tuesday-nights-in-1980_870/index.html
15,Science Fiction,0,43.3,43.3,Books,4,0.0,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",https://books.toscrape.com/catalogue/william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html
15,Religion,0,21.87,21.87,Books,4,0.0,You Are What You Love: The Spiritual Power of Habit,https://books.toscrape.com/catalogue/you-are-what-you-love-the-spiritual-power-of-habit_872/index.html
16,Christian,0,54.0,54.0,Books,5,0.0,(Un)Qualified: How God Uses Broken People to Do Big Things,https://books.toscrape.com/catalogue/unqualified-how-god-uses-broken-people-to-do-big-things_873/index.html
16,Fantasy,0,52.37,52.37,Books,1,0.0,A Court of Thorns and Roses (A Court of Thorns and Roses #1),https://books.toscrape.com/catalogue/a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html
16,Young Adult,0,28.13,28.13,Books,4,0.0,A Fierce and Subtle Poison,https://books.toscrape.com/catalogue/a-fierce-and-subtle-poison_875/index.html
16,Historical Fiction,0,55.53,55.53,Books,5,0.0,A Flight of Arrows (The Pathfinders #2),https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html
16,Mystery,0,16.64,16.64,Books,1,0.0,A Murder in Time,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html
16,Default,0,56.76,56.76,Books,5,0.0,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",https://books.toscrape.com/catalogue/a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html
16,Default,0,42.95,42.95,Books,1,0.0,A World of Flavor: Your Gluten Free Passport,https://books.toscrape.com/catalogue/a-world-of-flavor-your-gluten-free-passport_879/index.html
16,Nonfiction,0,30.81,30.81,Books,1,0.0,Algorithms to Live By: The Computer Science of Human Decisions,https://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html
15,Food and Drink,0,41.25,41.25,Books,1,0.0,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,https://books.toscrape.com/catalogue/the-cookies-cups-cookbook-125-sweet-savory-recipes-reminding-you-to-always-eat-dessert-first_841/index.html
15,Default,0,23.15,23.15,Books,2,0.0,The Emerald Mystery,https://books.toscrape.com/catalogue/the-emerald-mystery_842/index.html
15,Nonfiction,0,17.24,17.24,Books,1,0.0,The Genius of Birds,https://books.toscrape.com/catalogue/the-genius-of-birds_843/index.html
15,Default,0,55.02,55.02,Books,2,0.0,The Girl on the Train,https://books.toscrape.com/catalogue/the-girl-on-the-train_844/index.html
15,Fantasy,0,44.28,44.28,Books,1,0.0,The Glittering Court (The Glittering Court #1),https://books.toscrape.com/catalogue/the-glittering-court-the-glittering-court-1_845/index.html
15,Historical Fiction,0,36.95,36.95,Books,1,0.0,The House by the Lake,https://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html
15,Default,0,41.82,41.82,Books,4,0.0,The Kite Runner,https://books.toscrape.com/catalogue/the-kite-runner_847/index.html
15,Crime,0,10.97,10.97,Books,1,0.0,The Long Shadow of Small Ghosts: Murder and Memory in an American City,https://books.toscrape.com/catalogue/the-long-shadow-of-small-ghosts-murder-and-memory-in-an-american-city_848/index.html
15,Food and Drink,0,37.6,37.6,Books,2,0.0,The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,https://books.toscrape.com/catalogue/the-love-and-lemons-cookbook-an-apple-to-zucchini-celebration-of-impromptu-cooking_849/index.html
